date,state,cases,predict,lower,upper
2020-05-07,Minnesota,,5027.904795600588,3936.070778392972,6119.738812808204
2020-05-08,Minnesota,,5170.380841679768,3985.4454497155166,6355.31623364402
2020-04-23,Oklahoma,,3017.0,3017.0,3017.0
2020-04-24,Oklahoma,,3135.282220381624,3079.0219923104155,3191.5424484528326
2020-04-25,Oklahoma,,3243.2983368818477,3121.9004772745893,3364.6961964891066
2020-04-26,Oklahoma,,3362.635773778792,3175.0994199856827,3550.172127571902
2020-04-27,Oklahoma,,3477.9600240974332,3219.1193671122824,3736.8006810825846
2020-04-28,Oklahoma,,3600.1638697249264,3268.2748266773747,3932.052912772478
2020-04-29,Oklahoma,,3721.50968352827,3312.877504721536,4130.141862335005
2020-04-30,Oklahoma,,3847.4938459793766,3360.0160522532146,4334.971639705539
2020-05-01,Oklahoma,,3974.212033727853,3404.890174031886,4543.53389342382
2020-05-02,Oklahoma,,4104.4376611874795,3451.048441855178,4757.826880519781
2020-05-03,Oklahoma,,4236.200648828396,3496.123024003471,4976.278273653321
2020-05-04,Oklahoma,,4370.900431706066,3541.908451094489,5199.892412317644
2020-05-05,Oklahoma,,4507.542928898995,3587.246448839355,5427.839408958636
2020-05-06,Oklahoma,,4646.834280270283,3633.0565530755007,5660.612007465065
2020-05-07,Oklahoma,,4788.2728832889115,3678.7813521303096,5897.7644144475125
2020-05-08,Oklahoma,,4932.215048527715,3724.9014738313654,6139.528623224065
2020-04-23,Pennsylvania,,38334.0,38334.0,38334.0
2020-04-24,Pennsylvania,,39905.0,39566.020330712236,40243.979669287764
2020-04-25,Pennsylvania,,41476.0,40657.63068503673,42294.36931496327
2020-04-26,Pennsylvania,,43047.0,41641.50067509743,44452.49932490257
2020-04-27,Pennsylvania,,44618.0,42534.5413365219,46701.4586634781
2020-04-28,Pennsylvania,,46189.0,43347.559753004054,49030.440246995946
2020-04-29,Pennsylvania,,47760.0,44088.23253007164,51431.76746992836
2020-04-30,Pennsylvania,,49331.0,44762.376625629295,53899.623374370705
2020-05-01,Pennsylvania,,50902.0,45374.59733427829,56429.40266572171
2020-05-02,Pennsylvania,,52473.0,45928.658326414996,59017.341673585004
2020-05-03,Pennsylvania,,54044.0,46427.71049097503,61660.289509024966
2020-05-04,Pennsylvania,,55615.0,46874.44211638875,64355.55788361125
2020-05-05,Pennsylvania,,57186.0,47271.18209651014,67100.81790348986
2020-05-06,Pennsylvania,,58757.0,47619.973517553284,69894.02648244672
2020-05-07,Pennsylvania,,60328.0,47922.62773399653,72733.37226600347
2020-05-08,Pennsylvania,,61899.0,48180.76512014212,75617.23487985789
2020-04-23,South Carolina,,4917.0,4917.0,4917.0
2020-04-24,South Carolina,,5074.00788307787,4981.069104822957,5166.946661332783
2020-04-25,South Carolina,,5234.310709127548,5042.306757594947,5426.314660660149
2020-04-26,South Carolina,,5397.908478149033,5101.070368969409,5694.7465873286565
2020-04-27,South Carolina,,5564.801190142324,5157.661255671443,5971.941124613206
2020-04-28,South Carolina,,5734.988845107423,5212.3379383628835,6257.6397518519625
2020-04-29,South Carolina,,5908.471443044328,5265.325404578096,6551.6174815105605
2020-04-30,South Carolina,,6085.248983953041,5316.82178640193,6853.676181504152
2020-05-01,South Carolina,,6265.32146783356,5367.003312650006,7163.639623017114
2020-05-02,South Carolina,,6448.688894685887,5416.028069707157,7481.349719664617
2020-05-03,South Carolina,,6635.35126451002,5464.038915988568,7806.663613031473
2020-05-04,South Carolina,,6825.308577305961,5511.165780231896,8139.451374380026
2020-05-05,South Carolina,,7018.560833073709,5557.527501632166,8479.59416451525
2020-05-06,South Carolina,,7215.108031813264,5603.2333229589385,8826.982740667589
2020-05-07,South Carolina,,7414.950173524625,5648.38411651919,9181.51623053006
2020-05-08,South Carolina,,7618.087258207794,5693.073401451682,9543.101114963905
2020-04-23,District of Columbia,,3361.0,3361.0,3361.0
2020-04-24,District of Columbia,,3516.4665734130112,3460.2874024047405,3572.6457444212815
2020-04-25,District of Columbia,,3675.3743729369585,3561.748139860926,3789.000606012991
2020-04-26,District of Columbia,,3837.723398571842,3665.409597602277,4010.037199541408
2020-04-27,District of Columbia,,4003.5136503176627,3771.2974594934435,4235.7298411418815
2020-04-28,District of Columbia,,4172.74512817442,3879.4358772259957,4466.054379122843
2020-04-29,District of Columbia,,4345.417832142112,3989.8476168550237,4700.9880474292
2020-04-30,District of Columbia,,4521.531762220742,4102.554186434881,4940.509338006603
2020-05-01,District of Columbia,,4701.086918410307,4217.5759477775755,5184.597889043039
2020-05-02,District of Columbia,,4884.083300710809,4334.932214786415,5433.234386635204
2020-05-03,District of Columbia,,5070.520909122248,4454.641340369726,5686.40047787477
2020-05-04,District of Columbia,,5260.399743644623,4576.720793585304,5944.078693703943
2020-05-05,District of Columbia,,5453.719804277935,4701.187228383621,6206.252380172247
2020-05-06,District of Columbia,,5650.481091022182,4828.056545090774,6472.905636953589
2020-05-07,District of Columbia,,5850.683603877366,4957.343945588247,6744.023262166485
2020-05-08,District of Columbia,,6054.327342843486,5089.06398299676,7019.590702690212
2020-04-23,Kansas,,2615.0,2615.0,2615.0
2020-04-24,Kansas,,2938.2960010655675,2869.265946146126,3007.3260559850087
2020-04-25,Kansas,,3381.122726029241,3215.979137533731,3546.2663145247516
2020-04-26,Kansas,,3923.563298939547,3625.6760274462736,4221.45057043282
2020-04-27,Kansas,,4510.461445404217,4022.106813834839,4998.816076973595
2020-04-28,Kansas,,5216.871389224642,4490.621595328643,5943.121183120642
2020-04-29,Kansas,,6007.350108085457,4985.737867742155,7028.962348428758
2020-04-30,Kansas,,6872.555938451182,5490.529849554211,8254.582027348153
2020-05-01,Kansas,,7850.774202497481,6045.885767641784,9655.66263735318
2020-05-02,Kansas,,8913.570287230814,6615.462427999402,11211.678146462225
2020-05-03,Kansas,,10069.18013913389,7204.25698748357,12934.103290784211
2020-05-04,Kansas,,11333.035556256147,7826.779747855258,14839.291364657036
